city,district,facility_name,x_coordinate,y_coordinate,longitude,latitude
基隆市,仁愛區,私立聖心學校,324389.9209999988,2778780.0050000004,121.73765000061708,25.115555019341077
基隆市,仁愛區,銘傳國中,325718.6230000009,2779695.228,121.75087500418735,25.12375102245236
基隆市,仁愛區,成功國小,324468.4969999989,2779920.7300000004,121.73849100152523,25.125849016111555
基隆市,仁愛區,南榮國小,325020.31600000046,2779208.4999999995,121.74392399645832,25.119392016214515
基隆市,仁愛區,南榮國中,325184.8390000011,2779366.484,121.74556400097292,25.12081001621954
基隆市,仁愛區,仁愛國小,325227.9409999996,2780161.963,121.74603499907631,25.12798902303744
基隆市,仁愛區,信義國小,325307.7929999995,2780110.23,121.74682399812372,25.12751801750772
基隆市,信義區,崇右技術學院,326003.2729999997,2780578.6410000003,121.75374652367906,25.13171165699575
基隆市,信義區,私立培德工家,327794.1190000011,2780374.015,121.77149400168153,25.129773021636666
基隆市,信義區,私立光隆家商,325573.10499999934,2780384.2039999994,121.7494699999232,25.12997802344779
基隆市,信義區,國立基隆女中,326585.29500000103,2780324.176,121.75950399921504,25.129385023144135
基隆市,信義區,東信國小,326691.79700000025,2780626.19,121.76057700147166,25.132106015502142
基隆市,信義區,東光國小,326957.9189999992,2780286.954,121.76319700217866,25.129030021326095
基隆市,信義區,信義國中,327465.1929999996,2780334.475,121.7682300008109,25.12943302240535
基隆市,信義區,成功國中,325776.4780000007,2780678.4410000006,121.75150299825354,25.132624018185037
基隆市,信義區,深美國小,328463.9929999997,2781269.926,121.77818799754313,25.137826023570284
基隆市,信義區,深澳國小,329270.888,2779954.73,121.7861140001613,25.12591101927585
基隆市,信義區,中興國小,326354.0720000012,2780430.215,121.75721699808153,25.130354016323434
基隆市,中正區,國立臺灣海洋大學,327891.6190000011,2782708.205,121.77259345931108,25.150839623368164
基隆市,中正區,私立二信高中附設國中部,327627.31399999926,2781930.432,121.76992799860804,25.143832018690663
基隆市,中正區,私立二信高中,327627.31399999926,2781930.432,121.76992799860804,25.143832018690663
基隆市,中正區,國立基隆海事,327783.64099999977,2782399.457,121.77150499653561,25.148058020906323
基隆市,中正區,正濱國小,327677.4199999993,2782213.967,121.77044099523538,25.14638901508642
基隆市,中正區,正濱國中,326921.30700000003,2782195.489,121.76294100359603,25.146261021238146
基隆市,中正區,和平國小,327235.6049999993,2783239.765,121.76611699656948,25.155672018322587
基隆市,中正區,忠孝國小,327304.3919999993,2782490.6589999995,121.76675699811875,25.14890601851248
基隆市,中正區,中正國小,325738.679,2781019.7450000006,121.75114700491766,25.13570702014905
基隆市,中正區,中正國中,326001.00499999896,2780956.9600000004,121.75374499607696,25.13512702186002
基隆市,中正區,八斗高中國中部,329505.3459999999,2781526.435,121.78853000492701,25.140087020207655
基隆市,中正區,八斗國小,330384.1869999993,2781310.717,121.79723299618269,25.138093016389647
基隆市,中山區,經國管理暨健康學院,323495.1200000011,2782690.656,121.72898727922635,25.1509022479595
基隆市,中山區,市立中山高中,323664.5149999997,2783055.659,121.7306869992188,25.1541890187978
基隆市,中山區,私立聖心高中,323965.7690000005,2780998.9100000006,121.73356399572073,25.135607020254483
基隆市,中山區,私立聖心高中附設國中部,323965.7690000005,2780998.9100000006,121.73356399572073,25.135607020254483
基隆市,中山區,私立聖心小學,323965.7690000005,2780998.9100000006,121.73356399572073,25.135607020254483
基隆市,中山區,中山高中(國中部)大德分校,324105.47499999945,2781545.671000001,121.73497900473852,25.140536022496704
基隆市,中山區,中山國小,324383.93499999965,2782142.929,121.73777300181374,25.145914017204415
基隆市,中山區,中華國小,324442.17800000065,2782536.161,121.73837200299248,25.149461021281216
基隆市,中山區,港西國小,324590.571,2781106.671,121.73976599614285,25.13654902333168
基隆市,中山區,仙洞國小,325277.4869999998,2782305.7,121.74664399744883,25.14733901775446
基隆市,中山區,中山高中(國中部),323689.07299999875,2783011.833,121.73092822005832,25.15379217943387
基隆市,中山區,德和國小,323620.79699999985,2783160.214,121.73025900158216,25.155135023494207
基隆市,中山區,中和國小,322633.0330000001,2782164.256,121.72040900361492,25.14619201835474
基隆市,安樂區,市立安樂高中,323689.2779999998,2780849.1950000003,121.73081399677619,25.13426902035739
基隆市,安樂區,安樂國小,323800.072,2780575.411,121.73189799516341,25.131792017469145
基隆市,安樂區,西定國小,323833.94100000046,2781098.0,121.73226199578352,25.1365080194537
基隆市,安樂區,安樂高中(國中部),323661.21000000025,2780913.7640000004,121.73053911798797,25.134853288386008
基隆市,安樂區,隆聖國小,319957.976000001,2783240.003,121.6939330029889,25.156030016859862
基隆市,安樂區,武崙國中,320832.9879999993,2781769.9340000004,121.7025359977152,25.142718016309228
基隆市,安樂區,武崙國小,321266.9020000012,2781319.918,121.70681599512687,25.13863501664138
基隆市,安樂區,長樂國小,321761.2610000003,2779930.663,121.71164600382832,25.126070016189225
基隆市,安樂區,建德國中,322785.9929999995,2780109.909,121.72181699861524,25.12763902230479
基隆市,安樂區,建德國小,322816.3589999989,2779806.222,121.7221020020837,25.124896018331444
基隆市,安樂區,國立基隆特殊教育學校,323285.9749999998,2780839.926,121.7268139957204,25.134205016193363
基隆市,暖暖區,國立基隆高中,323920.1340000009,2777908.767,121.73294499725073,25.10771301702757
基隆市,暖暖區,市立暖暖高中,324392.7040000004,2777938.48,121.7376320042919,25.107958019095552
基隆市,暖暖區,暖江國小,324411.70099999907,2777655.006,121.73780499712693,25.10539802022449
基隆市,暖暖區,暖暖高中(國中部),324413.6269999989,2777930.888,121.73783903888777,25.107888450287913
