city,district,facility_name,x_coordinate,y_coordinate,longitude,latitude
基隆市,仁愛區,三友煤氣行,324931.53800000035,2779659.7270000004,121.74306834125728,25.12346987049977
基隆市,仁愛區,三興宮,324300.22831093456,2779527.85396078,121.73680114746384,25.122310639260117
基隆市,仁愛區,天王宮,325789.98804786976,2779772.28398274,121.75158691406587,25.124443055031755
基隆市,仁愛區,天澤宮,325549.62509372307,2779412.40001911,121.74918365478787,25.121206284401655
基隆市,仁愛區,天濟宮,325942.2030976572,2779794.89483232,121.7530975341829,25.124639511940927
基隆市,仁愛區,太乙宮,324932.5840347415,2780104.95400611,121.74310302734686,25.12748909079847
基隆市,仁愛區,木山殯儀有限公司,324341.38099999994,2779981.453,121.73723378699134,25.126403466943977
基隆市,仁愛區,代明宮,324558.35915299226,2780301.29252119,121.73940277099885,25.129280091164706
基隆市,仁愛區,古今葬儀社,324890.4390000012,2779832.492,121.74267023342003,25.1250315438039
基隆市,仁愛區,台灣中油成功一路站加油站,324373.06900000025,2780029.01,121.7375505900286,25.126831223330242
基隆市,仁愛區,台灣中油第一流動站加油站,324353.89099999925,2780061.713,121.73736218833126,25.127127395182658
基隆市,仁愛區,台灣國寶殯葬禮儀有限公司,325873.1289999997,2780144.808,121.75243194158881,25.127801813210596
基隆市,仁愛區,弘道禮儀企業社,325732.3039999991,2779929.117,121.75102357306406,25.12586175684798
基隆市,仁愛區,永生禮儀用品社,324987.54399999965,2778854.109,121.74357968172087,25.116194390429403
基隆市,仁愛區,永玖禮儀用品店,324652.65900000033,2780008.578,121.74032196306571,25.1266329510773
基隆市,仁愛區,永龍國際禮儀有限公司,324634.6469999998,2778511.865,121.74006196642176,25.11312229591277
基隆市,仁愛區,生暉生命事業有限公司,324820.7109999997,2779925.987,121.74198390174523,25.125879030018822
基隆市,仁愛區,光德宮,325172.0795503969,2779508.34456693,121.74544525146787,25.12209129416744
基隆市,仁愛區,安阜易事業有限公司,324468.3710000013,2780333.2280000006,121.7385121415436,25.129572837351716
基隆市,仁愛區,安然生命禮儀企業社,324890.12500000134,2779844.551,121.74266777791456,25.12514042165147
基隆市,仁愛區,成功禮儀用品有限公司,324813.96199999965,2780002.029,121.74192112373497,25.126565831831428
基隆市,仁愛區,佛心觀音巖,325653.4880742523,2778860.26079366,121.75018310547189,25.116216660378065
基隆市,仁愛區,佛教居士林,325114.5615314601,2780031.7971784705,121.74490356445587,25.12681961142832
基隆市,仁愛區,協安宮,325549.62509372307,2779412.40001911,121.74918365478787,25.121206284401655
基隆市,仁愛區,卓越生命事業股份有限公司,325864.9890000013,2780117.836,121.75234973147764,25.127558734731696
基隆市,仁愛區,尚霖企業社,325102.9400000011,2779625.08,121.7447660620511,25.123148565673578
基隆市,仁愛區,易誠禮儀社,324967.7980000002,2779314.475000001,121.74340903505237,25.120351315113172
基隆市,仁愛區,明玄宮,325003.6448294781,2779914.9797022706,121.74379730224884,25.125770569680252
基隆市,仁愛區,法王寺,324727.1286657366,2779690.3437186093,121.74104309082284,25.123756409523864
基隆市,仁愛區,花都殯葬社,324955.9290000001,2780142.162,121.74333655569875,25.127823823740787
基隆市,仁愛區,金衡葬儀社,324946.6960000001,2778734.021,121.74316810239299,25.115112329366312
基隆市,仁愛區,冠紘有限公司,324930.0770000009,2779764.696,121.74305958566858,25.124417547558426
基隆市,仁愛區,南天宮,325018.6091539033,2779433.54871993,121.74391937256186,25.121423722145874
基隆市,仁愛區,南榮宮,324922.8799136779,2779911.1542056696,121.74299621582284,25.12574005210203
基隆市,仁愛區,宥登企業社,324804.89599999954,2779574.3130000005,121.74180790672831,25.1227050880186
基隆市,仁愛區,紅淡山龍珠山福德宮,325018.6091539033,2779433.54871993,121.74391937256186,25.121423722145874
基隆市,仁愛區,茂發煤氣行,324580.8100000009,2780029.015,121.7396106024756,25.12682100268534
基隆市,仁愛區,悟玄宮,326053.5334057636,2779836.50560195,121.75420379638992,25.12500953757573
基隆市,仁愛區,財團法人台灣省基隆市樂仙宮,324966.7799599893,2779064.99744389,121.74338531494385,25.118099213478697
基隆市,仁愛區,基隆二次變電所,325349.7800000012,2780068.656,121.74723807015042,25.127140611390164
基隆市,仁愛區,基隆市立南榮公墓,324705.6470000003,2778464.1770000006,121.74076334693366,25.112688277612968
基隆市,仁愛區,基隆市立殯葬管理所-火化場,324797.30399999896,2778309.098,121.74166368834483,25.11128376085642
基隆市,仁愛區,基隆市立殯葬管理所-納骨塔,324705.6470000003,2778464.1770000006,121.74076334693366,25.112688277612968
基隆市,仁愛區,基隆市立殯葬管理所-殯儀館,324945.8929999992,2779660.568,121.7432107309529,25.123476748941833
基隆市,仁愛區,基隆金寶塔,325411.92400000046,2778737.0660000006,121.74778114045048,25.115116623700874
基隆市,仁愛區,基隆護國城隍廟,324678.2102730541,2780472.45513413,121.74060058594085,25.130819321511485
基隆市,仁愛區,啟化講堂,324067.78351180395,2779543.0668460103,121.73449707031584,25.122459412453544
基隆市,仁愛區,梵音寺,325489.85403749463,2779784.5602582,121.74861145019788,25.12456894004154
基隆市,仁愛區,頂恩生命禮儀社,324700.38599999994,2780001.446,121.74079484678846,25.126566202367197
基隆市,仁愛區,奠濟宮,324946.7537087668,2780186.3759635,121.74324798584284,25.128223420022163
基隆市,仁愛區,景山岩廟,325017.8059850835,2779439.6714916504,121.74391174316686,25.121479035256137
基隆市,仁愛區,朝棟里南山福德宮,324134.04346047714,2780091.282937929,121.73518371582283,25.12740516745865
基隆市,仁愛區,順安宮,325025.35598775296,2779326.25429264,121.74398040771784,25.12045478904035
